name,ring,quadrant,isNew,description
Camunda 8 (SaaS/Self-Managed),Adopt,Platforms,false,"Our primary engine for high-throughput process orchestration. Essential for state management in complex AI agent handoffs."
Embedded Camunda 7 Engines,Hold,Platforms,false,"Phasing out in favor of Camunda 8. No new projects should use embedded Spring Boot C7 architectures."
Kubernetes,Adopt,Platforms,false,"Kubernetes is the de facto standard for container orchestration, enabling automated deployment, scaling, and management of containerized applications."
EKS,Adopt,Platforms,false,"Amazon Elastic Kubernetes Service (EKS) is a managed Kubernetes service that simplifies the process of running Kubernetes on AWS without needing to install and operate your own Kubernetes control plane."
GKE,Adopt,Platforms,false,"Google Kubernetes Engine (GKE) is a managed Kubernetes service that provides a scalable and secure environment for deploying, managing, and scaling containerized applications using Google Cloud's infrastructure."
Docker,Adopt,Platforms,false,"Docker is a platform for developing, shipping, and running applications in containers, providing consistency across multiple development and release cycles."
Istio,Trial,Platforms,true,"An open-source service mesh that provides a way to control how microservices share data with one another."
Kafka,Adopt,Platforms,false,"A distributed event streaming platform capable of handling trillions of events a day."
AWS MKS,Adopt,Platforms,false,"Amazon Managed Kubernetes Service (MKS) is a fully managed Kubernetes service that makes it easy to run Kubernetes on AWS without needing to manage the underlying infrastructure."
AWS EventBridge,Trial,Platforms,true,"A serverless event bus that makes it easy to connect applications using data from a variety of sources, including AWS services and SaaS applications."
Node.js,Adopt,Platforms,false,"Node.js is a lightweight web container that is a strong option for development of micro services and as a server to mobile and single-page web applications."
Plane project management tool,Assess,Platforms,true,"A modern project management tool designed for software development teams, focusing on simplicity and efficiency."
GitHub,Adopt,Platforms,false,"A web-based platform for version control and collaboration, allowing multiple developers to work on projects simultaneously."
PostgreSQL,Adopt,Platforms,false,"A powerful, open-source object-relational database system known for its reliability, feature robustness, and performance."
Redis,Adopt,Platforms,false,"An in-memory data structure store, used as a database, cache, and message broker, known for its high performance and versatility."
Mongodb,Adopt,Platforms,false,"A NoSQL database that uses a document-oriented data model, providing flexibility and scalability for modern applications."
LocalStack,Adopt,Platforms,false,"A fully functional local AWS cloud stack that allows developers to test and develop cloud applications locally."
Keycloak,Adopt,Platforms,false,"An open-source identity and access management solution that provides features like single sign-on, social login, and user federation."
AWS Cognito,Assess,Platforms,true,"A service that provides authentication, authorization, and user management for web and mobile applications."
Spring Boot,Adopt,Languages & Frameworks,false,"Spring Boot allows easy setup of standalone Spring-based applications. It's ideal for pulling up new microservices and easy to deploy."
